Cameroon,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
271,2071,,,2.27,2.9,3.46,3.8
272,2072,,,2.27,2.92,3.51,3.85
273,2073,,,2.27,2.93,3.55,3.9
274,2074,,,2.26,2.95,3.59,3.95
275,2075,,,2.26,2.96,3.63,4.01
276,2076,,,2.26,2.98,3.68,4.06
277,2077,,,2.26,2.99,3.73,4.11
278,2078,,,2.26,3.01,3.77,4.17
279,2079,,,2.26,3.02,3.81,4.23
280,2080,,,2.26,3.04,3.85,4.28
281,2081,,,2.26,3.05,3.89,4.34
282,2082,,,2.25,3.07,3.93,4.4
283,2083,,,2.25,3.08,3.98,4.45
284,2084,,,2.25,3.09,4.02,4.51
285,2085,,,2.24,3.11,4.06,4.56
286,2086,,,2.24,3.12,4.1,4.62
287,2087,,,2.24,3.14,4.13,4.67
288,2088,,,2.23,3.15,4.17,4.73
289,2089,,,2.22,3.17,4.21,4.78
290,2090,,,2.21,3.18,4.25,4.84
291,2091,,,2.2,3.2,4.29,4.89
292,2092,,,2.2,3.21,4.33,4.95
293,2093,,,2.2,3.23,4.38,5.0
294,2094,,,2.19,3.24,4.42,5.06
295,2095,,,2.19,3.26,4.47,5.12
296,2096,,,2.19,3.27,4.51,5.17
297,2097,,,2.19,3.29,4.56,5.22
298,2098,,,2.18,3.3,4.6,5.27
299,2099,,,2.18,3.31,4.65,5.33
300,2100,,,2.18,3.33,4.7,5.39
